Id,SalePrice
1461,107664.217677
1462,138670.781821
1463,175208.186428
1464,187887.40133
1465,223021.390968
1466,172137.986395
1467,186040.170501
1468,161418.511562
1469,181367.528108
1470,121768.490683
1471,168021.32282
1472,95249.5013239
1473,87697.7320906
1474,140811.916277
1475,112680.112239
1476,382554.751102
1477,274816.471745
1478,312427.673796
1479,317307.294042
1480,443687.656808
1481,299328.473979
1482,218658.251194
1483,173987.092644
1484,159880.084241
1485,200678.994255
1486,193905.644311
1487,328115.219949
1488,235924.760774
1489,215219.656996
1490,243240.83271
1491,198613.708259
1492,96536.4197429
1493,193628.998885
1494,337625.978445
1495,298335.525332
1496,226949.812332
1497,175233.943435
1498,170138.934665
1499,158390.655673
1500,149660.871015
1501,170258.782761
1502,137718.204913
1503,284570.553967
1504,246550.161857
1505,232520.510706
1506,185741.38339
1507,241605.052488
1508,200835.389466
1509,147567.664651
1510,150217.719698
1511,171921.92313
1512,179605.210969
1513,166777.905527
1514,177716.81783
1515,210665.023427
1516,156050.584462
1517,159200.247532
1518,119637.206806
1519,212846.608957
1520,135441.629111
1521,137838.980394
1522,183993.817483
1523,106066.209719
1524,117740.203058
1525,116008.132893
1526,106382.137041
1527,107763.439425
1528,130944.46649
1529,156892.042862
1530,201586.477971
1531,124404.921699
1532,95528.1058382
1533,159697.222744
1534,131187.231073
1535,144865.823124
1536,88360.4640963
1537,54221.1220588
1538,154158.244612
1539,215160.678256
1540,112607.195559
1541,125682.117593
1542,146499.939791
1543,175400.527315
1544,90139.7816729
1545,134165.768119
1546,153149.515976
1547,134476.067287
1548,148152.60057
1549,135089.094334
1550,150353.886661
1551,112981.437291
1552,157203.534921
1553,140737.772358
1554,125702.031878
1555,159284.655846
1556,80238.875364
1557,131850.52384
1558,112576.809824
1559,53592.798557
1560,135944.383425
1561,84548.3773612
1562,127803.732148
1563,126420.782582
1564,164866.855124
1565,144722.605849
1566,230810.07052
1567,65960.9529523
1568,239281.949389
1569,121933.850794
1570,134287.256006
1571,94783.2912811
1572,131359.714045
1573,233085.630978
1574,133708.961052
1575,234575.163744
1576,255307.801097
1577,183645.242147
1578,161857.248263
1579,145705.697948
1580,203286.144981
1581,155914.36812
1582,128215.756627
1583,280193.1368
1584,221264.724834
1585,135806.559976
1586,71704.5702845
1587,124094.151723
1588,153196.446305
1589,102154.186077
1590,125579.849628
1591,81665.769498
1592,134472.686275
1593,140882.008833
1594,165322.875054
1595,122181.672153
1596,224945.864534
1597,204268.28994
1598,234860.131956
1599,179184.344535
1600,170694.78034
1601,49830.8336372
1602,122484.293395
1603,53609.219489
1604,252887.365677
1605,229901.167966
1606,163203.690388
1607,182326.52248
1608,214407.154228
1609,206992.63414
1610,163977.15347
1611,131419.332805
1612,157206.825768
1613,160269.350157
1614,142766.477101
1615,77704.8018055
1616,58912.2559714
1617,77782.7933891
1618,131867.450089
1619,140523.400057
1620,177927.816079
1621,124047.938706
1622,142340.914261
1623,258460.324697
1624,196020.612332
1625,116841.746317
1626,176330.069037
1627,188504.960463
1628,258242.216262
1629,195222.836037
1630,341418.849903
1631,261816.930549
1632,256296.641409
1633,193118.163017
1634,179745.985041
1635,171305.045159
1636,149172.165505
1637,193717.203634
1638,172215.042095
1639,186442.184056
1640,240001.478168
1641,185111.499811
1642,267335.388992
1643,221059.735393
1644,236701.231186
1645,222492.538692
1646,167651.114169
1647,161037.969381
1648,126474.704698
1649,132868.361567
1650,112927.566957
1651,110665.02348
1652,97847.6881754
1653,103008.921082
1654,144932.610788
1655,149009.814798
1656,141241.764556
1657,155351.573125
1658,145080.800384
1659,128900.646179
1660,154658.518294
1661,424996.476174
1662,394279.010759
1663,381329.766107
1664,504286.613116
1665,340004.91701
1666,296849.793021
1667,341747.599324
1668,376219.007272
1669,328611.591058
1670,372692.610321
1671,287684.94051
1672,397707.732308
1673,309715.494277
1674,259057.745101
1675,209425.581053
1676,214406.892988
1677,229296.057764
1678,451801.727853
1679,362384.651844
1680,347513.779988
1681,292683.191448
1682,304012.616999
1683,204101.681856
1684,178433.597224
1685,167559.833876
1686,160826.562854
1687,177423.759803
1688,183625.678869
1689,186120.077366
1690,193752.564396
1691,182686.46897
1692,242754.632107
1693,188341.506131
1694,184401.843713
1695,192054.822251
1696,261402.805405
1697,195084.612327
1698,346534.763777
1699,330543.720425
1700,279813.371324
1701,290960.009981
1702,231364.040273
1703,234166.328708
1704,265425.87674
1705,227605.105478
1706,213932.660047
1707,219412.68775
1708,212299.98093
1709,248697.277088
1710,222962.808332
1711,261199.93892
1712,262700.154921
1713,295743.107365
1714,213622.227395
1715,216387.569642
1716,181727.82013
1717,177416.533573
1718,137610.258207
1719,211920.986866
1720,165951.795312
1721,147759.912423
1722,104782.134142
1723,147565.391053
1724,223793.669715
1725,251470.798863
1726,186342.481331
1727,167026.323746
1728,166789.643707
1729,179838.364868
1730,157266.720158
1731,126734.140612
1732,123690.648151
1733,111138.619948
1734,132725.055909
1735,104385.264032
1736,106575.197818
1737,287746.274874
1738,275009.292137
1739,261027.607637
1740,208397.839745
1741,183477.508164
1742,165967.136665
1743,169765.592116
1744,337944.138082
1745,215187.603963
1746,242996.6794
1747,215515.157874
1748,222606.855255
1749,136461.208773
1750,115035.868173
1751,224626.597608
1752,117369.970819
1753,148655.409696
1754,196402.690584
1755,162029.276834
1756,145420.549886
1757,117351.750572
1758,150709.398895
1759,167697.18047
1760,159618.061129
1761,146826.344148
1762,189428.560033
1763,171334.710024
1764,113818.323188
1765,174495.338407
1766,210577.796291
1767,228170.943121
1768,138249.402422
1769,168604.974017
1770,157634.17373
1771,120643.075185
1772,144363.381593
1773,117816.549924
1774,145516.077108
1775,158610.801657
1776,142010.706652
1777,110371.797143
1778,145634.105122
1779,127464.506211
1780,167125.187694
1781,119327.721228
1782,72864.4597298
1783,129463.205969
1784,87324.8157258
1785,135322.387945
1786,132457.606134
1787,155933.169465
1788,36864.0903899
1789,94391.0437504
1790,60084.9942364
1791,188007.104666
1792,156760.686739
1793,148155.760862
1794,160037.387502
1795,137035.650397
1796,160203.251776
1797,106083.779559
1798,121727.118097
1799,113035.075019
1800,130051.703216
1801,114592.762566
1802,120887.561488
1803,151659.506276
1804,134795.64046
1805,144115.56577
1806,131102.537536
1807,170342.609261
1808,123661.386876
1809,128838.808648
1810,135193.470439
1811,92227.0330205
1812,100907.376555
1813,122897.019036
1814,109424.200579
1815,47180.2640593
1816,86650.8015343
1817,97003.515317
1818,165000.868857
1819,131673.770844
1820,12505.3082905
1821,129609.412691
1822,152764.150352
1823,37033.0481436
1824,146723.055707
1825,157167.363072
1826,86746.4121114
1827,109668.773898
1828,155462.633783
1829,152592.603711
1830,157787.819177
1831,155287.93064
1832,10945.1403282
1833,164139.834724
1834,112692.388555
1835,77685.5982594
1836,136006.786154
1837,88180.8195392
1838,119319.45062
1839,109173.695427
1840,153169.89237
1841,132397.928562
1842,96403.8231923
1843,120313.159693
1844,147519.448691
1845,160073.579968
1846,156209.995134
1847,167986.804949
1848,19318.370638
1849,129603.578606
1850,122099.116026
1851,136879.749688
1852,113964.206029
1853,100765.862769
1854,162057.154102
1855,148225.632792
1856,224788.224003
1857,129036.970513
1858,139250.314525
1859,117518.729294
1860,140449.6392
1861,116431.638933
1862,305215.51806
1863,292025.821134
1864,292042.14728
1865,337479.912987
1866,318372.040699
1867,215268.461303
1868,264046.788704
1869,209466.014003
1870,226164.449492
1871,220955.118397
1872,172436.59253
1873,243494.621761
1874,162107.048472
1875,203729.576485
1876,208397.317598
1877,215480.982552
